195,'VISpl6a','VISpl/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
196,'cuf','dc/cett/drt/cm/fiber tracts/root/'
197,'SNr','MBmot/MB/BS/grey/root/'
198,'CA1','CA/HIP/HPF/CTXpl/CTX/CH/grey/root/'
199,'SO','PVZ/HY/IB/BS/grey/root/'
200,'VISpl6b','VISpl/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
201,'vtd','rust/eps/fiber tracts/root/'
202,'VISam4','VISam/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
203,'MEA','sAMY/STR/CNU/CH/grey/root/'
204,'ORBl2/3','ORBl/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
205,'vVIIIn','VIIIn/cm/fiber tracts/root/'
206,'SPFm','SPF/DORsm/TH/IB/BS/grey/root/'
207,'VISl1','VISl/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
208,'SPFp','SPF/DORsm/TH/IB/BS/grey/root/'
209,'CA2','CA/HIP/HPF/CTXpl/CTX/CH/grey/root/'
210,'ECT2/3','ECT/Isocortex/CTXpl/CTX/CH/grey/root/'
211,'mct','fxpo/fxs/mfbc/mfbs/fiber tracts/root/'
212,'SPVC','MY-sen/MY/HB/BS/grey/root/'
213,'RSPv2/3','RSPv/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
214,'VISam5','VISam/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
215,'RSPd2/3','RSPd/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
216,'fx','fxpo/fxs/mfbc/mfbs/fiber tracts/root/'
217,'SPVI','MY-sen/MY/HB/BS/grey/root/'
218,'ORBl6a','ORBl/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
219,'VISam6b','VISam/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
220,'RSPd1','RSPd/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
221,'dhc','hc/fxs/mfbc/mfbs/fiber tracts/root/'
222,'SPVO','MY-sen/MY/HB/BS/grey/root/'
223,'ORBl1','ORBl/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
224,'vhc','hc/fxs/mfbc/mfbs/fiber tracts/root/'
225,'SSp-ul1','SSp-ul/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
226,'BLAv','BLA/CTXsp/CTX/CH/grey/root/'
227,'MEPO','PVR/HY/IB/BS/grey/root/'
228,'AUDpo6b','AUDpo/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
229,'MEV','MBsen/MB/BS/grey/root/'
230,'SSp-tr6b','SSp-tr/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
231,'CA3','CA/HIP/HPF/CTXpl/CTX/CH/grey/root/'
232,'alv','fxs/mfbc/mfbs/fiber tracts/root/'
233,'VISpm6b','VISpm/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
234,'STN','LZ/HY/IB/BS/grey/root/'
235,'STR','CNU/CH/grey/root/'
236,'SSp-ll6a','SSp-ll/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
237,'bic','cVIIIn/VIIIn/cm/fiber tracts/root/'
238,'MH','EPI/DORpm/TH/IB/BS/grey/root/'
239,'ORBm1','ORBm/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
240,'ORBl6b','ORBl/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
241,'VISpm4','VISpm/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
242,'SUB','RHP/HPF/CTXpl/CTX/CH/grey/root/'
243,'das','cVIIIn/VIIIn/cm/fiber tracts/root/'
244,'MOB','OLF/CTXpl/CTX/CH/grey/root/'
245,'SSp-ll6b','SSp-ll/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
246,'CB','grey/root/'
247,'MPN','MEZ/HY/IB/BS/grey/root/'
248,'AUDv6a','AUDv/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
249,'MPO','PVR/HY/IB/BS/grey/root/'
250,'SUM','MBO/MEZ/HY/IB/BS/grey/root/'
251,'ENTm1','ENTm/ENT/RHP/HPF/CTXpl/CTX/CH/grey/root/'
252,'AUDd1','AUDd/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
253,'df','fxs/mfbc/mfbs/fiber tracts/root/'
254,'MPT','PRT/MBmot/MB/BS/grey/root/'
255,'SUT','P-mot/P/HB/BS/grey/root/'
256,'lotd','lotg/In/cm/fiber tracts/root/'
257,'PERI1','PERI/Isocortex/CTXpl/CTX/CH/grey/root/'
258,'RSPv1','RSPv/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
259,'ENTm2','ENTm/ENT/RHP/HPF/CTXpl/CTX/CH/grey/root/'
260,'CEAc','CEA/sAMY/STR/CNU/CH/grey/root/'
261,'RSPd4','RSPd/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
262,'TH','IB/BS/grey/root/'
263,'CEAl','CEA/sAMY/STR/CNU/CH/grey/root/'
264,'sctd','icp/cbp/cbf/fiber tracts/root/'
265,'ILA2/3','ILA/Isocortex/CTXpl/CTX/CH/grey/root/'
266,'SSp-n1','SSp-n/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
267,'CEAm','CEA/sAMY/STR/CNU/CH/grey/root/'
268,'MS','MSC/PALm/PAL/CNU/CH/grey/root/'
269,'VISpm5','VISpm/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
270,'TR','OLF/CTXpl/CTX/CH/grey/root/'
271,'VISl4','VISl/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
272,'TRN','P-mot/P/HB/BS/grey/root/'
273,'CL','ILM/DORpm/TH/IB/BS/grey/root/'
274,'ACVII','MY-mot/MY/HB/BS/grey/root/'
275,'SSp-ul4','SSp-ul/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
276,'ec','fa/cc/lfbs/fiber tracts/root/'
277,'NB','MBsen/MB/BS/grey/root/'
278,'TRS','PALm/PAL/CNU/CH/grey/root/'
279,'ORBm2/3','ORBm/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
280,'CLA','CTXsp/CTX/CH/grey/root/'
281,'ND','PAG/MBmot/MB/BS/grey/root/'
282,'ACAv1','ACAv/ACA/Isocortex/CTXpl/CTX/CH/grey/root/'
283,'RSPv6a','RSPv/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
284,'CLI','RAmb/MBsta/MB/BS/grey/root/'
285,'VISp1','VISp/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
286,'fr','mfbse/mfsbshy/mfbs/fiber tracts/root/'
287,'NDB','MSC/PALm/PAL/CNU/CH/grey/root/'
288,'TTd','TT/OLF/CTXpl/CTX/CH/grey/root/'
289,'AUDv6b','AUDv/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
290,'CM','ILM/DORpm/TH/IB/BS/grey/root/'
291,'AUDd2/3','AUDd/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
292,'VISal6a','VISal/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
293,'fi','fxs/mfbc/mfbs/fiber tracts/root/'
294,'NI','P-sat/P/HB/BS/grey/root/'
295,'TTv','TT/OLF/CTXpl/CTX/CH/grey/root/'
296,'ORBvl6a','ORBvl/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
297,'SPA','DORsm/TH/IB/BS/grey/root/'
298,'RSPd5','RSPd/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
299,'hbc','mfbse/mfsbshy/mfbs/fiber tracts/root/'
300,'NLL','P-sen/P/HB/BS/grey/root/'
301,'VISl5','VISl/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
302,'TU','LZ/HY/IB/BS/grey/root/'
303,'CUN','MBmot/MB/BS/grey/root/'
304,'ORBm5','ORBm/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
305,'V','P-mot/P/HB/BS/grey/root/'
306,'RSPv6b','RSPv/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
307,'SSp-ul5','SSp-ul/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
308,'NOT','PRT/MBmot/MB/BS/grey/root/'
309,'VAL','VENT/DORsm/TH/IB/BS/grey/root/'
310,'ORBl5','ORBl/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
311,'DG-sg','DG/HIP/HPF/CTXpl/CTX/CH/grey/root/'
312,'cic','cVIIIn/VIIIn/cm/fiber tracts/root/'
313,'NPC','PRT/MBmot/MB/BS/grey/root/'
314,'GU6a','GU/Isocortex/CTXpl/CTX/CH/grey/root/'
315,'COAa','COA/OLF/CTXpl/CTX/CH/grey/root/'
316,'NTB','MY-sen/MY/HB/BS/grey/root/'
317,'AUDpo2/3','AUDpo/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
318,'MOp5','MOp/MO/Isocortex/CTXpl/CTX/CH/grey/root/'
319,'VISal6b','VISal/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
320,'NTS','MY-sen/MY/HB/BS/grey/root/'
321,'VI','MY-mot/MY/HB/BS/grey/root/'
322,'SSp-n4','SSp-n/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
323,'COApl','COAp/COA/OLF/CTXpl/CTX/CH/grey/root/'
324,'MOs1','MOs/MO/Isocortex/CTXpl/CTX/CH/grey/root/'
325,'SSp-m2/3','SSp-m/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
326,'ll','cVIIIn/VIIIn/cm/fiber tracts/root/'
327,'VII','MY-mot/MY/HB/BS/grey/root/'
328,'GU6b','GU/Isocortex/CTXpl/CTX/CH/grey/root/'
329,'COApm','COAp/COA/OLF/CTXpl/CTX/CH/grey/root/'
330,'ENTm3','ENTm/ENT/RHP/HPF/CTXpl/CTX/CH/grey/root/'
331,'lot','lotg/In/cm/fiber tracts/root/'
332,'FRP2/3','FRP/Isocortex/CTXpl/CTX/CH/grey/root/'
333,'SSp-tr2/3','SSp-tr/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
334,'RSPagl1','RSPagl/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
335,'CP','STRd/STR/CNU/CH/grey/root/'
336,'mp','mfbsma/mfsbshy/mfbs/fiber tracts/root/'
337,'AIv6a','AIv/AI/Isocortex/CTXpl/CTX/CH/grey/root/'
338,'AUDd4','AUDd/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
339,'CS','P-sat/P/HB/BS/grey/root/'
340,'ORBvl6b','ORBvl/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
341,'mtg','mfbsma/mfsbshy/mfbs/fiber tracts/root/'
342,'VM','VENT/DORsm/TH/IB/BS/grey/root/'
343,'RSPv5','RSPv/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
344,'VLPO','PVR/HY/IB/BS/grey/root/'
345,'mtt','mfbsma/mfsbshy/mfbs/fiber tracts/root/'
346,'PERI5','PERI/Isocortex/CTXpl/CTX/CH/grey/root/'
347,'VMH','MEZ/HY/IB/BS/grey/root/'
348,'AIv2/3','AIv/AI/Isocortex/CTXpl/CTX/CH/grey/root/'
349,'AUDpo1','AUDpo/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
350,'ml','cett/drt/cm/fiber tracts/root/'
351,'OLF','CTXpl/CTX/CH/grey/root/'
352,'AIv6b','AIv/AI/Isocortex/CTXpl/CTX/CH/grey/root/'
353,'SSp-n5','SSp-n/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
354,'CTXsp','CTX/CH/grey/root/'
355,'AIv1','AIv/AI/Isocortex/CTXpl/CTX/CH/grey/root/'
356,'OP','PRT/MBmot/MB/BS/grey/root/'
357,'ILA1','ILA/Isocortex/CTXpl/CTX/CH/grey/root/'
358,'CU','DCN/MY-sen/MY/HB/BS/grey/root/'
359,'VPL','VP/VENT/DORsm/TH/IB/BS/grey/root/'
360,'VISp4','VISp/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
361,'VPLpc','VP/VENT/DORsm/TH/IB/BS/grey/root/'
362,'ENTm5','ENTm/ENT/RHP/HPF/CTXpl/CTX/CH/grey/root/'
363,'arb','cbf/fiber tracts/root/'
